ZIP,RegionID,SizeRank,RegionType,StateName,State,City,Metro,CountyName,home_value
18810,65588,12690,zip,PA,PA,Athens,"Sayre, PA",Bradford County,140249.54
18829,65605,23860,zip,PA,PA,Le Raysville,"Sayre, PA",Bradford County,158935.41
18832,65608,19675,zip,PA,PA,Monroeton,"Sayre, PA",Bradford County,135956.13
18833,65609,18228,zip,PA,PA,Monroeton,"Sayre, PA",Bradford County,158883.4
18837,65611,16119,zip,PA,PA,Ulster,"Sayre, PA",Bradford County,165478.75
18840,65612,9410,zip,PA,PA,Sayre,"Sayre, PA",Bradford County,139796.31
18848,65619,10700,zip,PA,PA,Towanda,"Sayre, PA",Bradford County,150992.36
18850,65620,18362,zip,PA,PA,Ulster,"Sayre, PA",Bradford County,164003.96
18853,65622,14250,zip,PA,PA,Wyalusing,"Sayre, PA",Bradford County,181269.45
18901,65624,4325,zip,PA,PA,Doylestown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,493690.13
18902,399553,5587,zip,PA,PA,Doylestown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,559143.09
18913,65628,39992,zip,PA,PA,Carversville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,816544.5
18914,65629,5821,zip,PA,PA,Chalfont,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,460176.1
18915,65630,19158,zip,PA,PA,Colmar,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,415556.58
18917,65632,18159,zip,PA,PA,Dublin,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,356864.59
18920,65634,26399,zip,PA,PA,Erwinna,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,542164.24
18923,65637,22888,zip,PA,PA,Doylestown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,501290.04
18925,65639,11305,zip,PA,PA,Furlong,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,555616.92
18929,65643,9914,zip,PA,PA,Jamison,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,527594.97
18930,65644,17025,zip,PA,PA,Kintnersville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,446436.88
18932,65646,24881,zip,PA,PA,Line Lexington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,423936.58
18933,65647,28440,zip,PA,PA,Lumberville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,720414.88
18934,65648,30490,zip,PA,PA,Doylestown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,624013.03
18938,65651,8375,zip,PA,PA,New Hope,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,701629.32
18940,65652,3602,zip,PA,PA,Newtown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,540569.81
18942,65653,16293,zip,PA,PA,Ottsville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,456860.24
18944,65655,3963,zip,PA,PA,Perkasie,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,386900.23
18947,65657,12279,zip,PA,PA,Pipersville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,514245.45
18951,65660,2585,zip,PA,PA,Quakertown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,331464.65
18954,65662,9444,zip,PA,PA,Richboro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,521639.3
18955,65663,21033,zip,PA,PA,Richlandtown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,270841.71
18960,65667,8913,zip,PA,PA,Sellersville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,333956.35
18964,65670,7658,zip,PA,PA,Souderton,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,346562.42
18966,65671,2559,zip,PA,PA,Churchville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,406339.89
18969,65673,7326,zip,PA,PA,Telford,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,333323.0
18972,65676,15740,zip,PA,PA,Upper Black Eddy,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,426709.03
18974,65677,1546,zip,PA,PA,Warminster,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,368712.3
18976,65678,5369,zip,PA,PA,Warrington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,449350.34
18977,65679,14253,zip,PA,PA,Washington Crossing,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,610316.02
19001,65684,7240,zip,PA,PA,Abington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,320293.47
19002,65685,2774,zip,PA,PA,Ambler,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,528688.36
19003,65686,8004,zip,PA,PA,Ardmore,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,404957.83
19004,65687,9690,zip,PA,PA,Bala-Cynwyd,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,482886.34
