ZIP,NatWalkInd,total_weight,block_group_rows
02332,7.122608,13737.97,20
02333,6.96716,6293.072,23
02334,9.5,1891.491,1
02338,7.008223,7769.463,16
02339,6.988346,14249.027,9
02341,6.018839,10326.169,8
02343,9.238657,10965.528,9
02345,9.910732,2137.886,5
02346,6.296925,17125.646,24
02347,6.558032,11227.398,17
02350,5.962385,246.72,3
02351,8.451108,16601.584,20
02356,7.778104,12386.372,16
02359,6.47978,17176.646,22
02360,8.169612,45942.331,46
02361,13.10825,881.645,4
02362,7.061717,1658.731,8
02364,7.249976,12992.345,15
02367,3.835899,2969.25,10
02368,12.02833,25387.955,18
02370,9.349216,17920.203,24
02375,7.540169,10122.712,16
02379,6.827219,7155.642,12
02382,8.696602,14963.885,23
02420,12.317736,15764.373,30
02421,13.513282,17641.188,27
02445,15.470572,18994.25,21
02446,16.230119,18991.303,28
02447,16.932837,532.392,3
02451,13.825337,17334.668,25
02452,11.864492,15800.041,33
02453,15.250036,27937.5,49
02454,16.250133,1165.576,5
02455,13.988759,349.546,4
02458,15.916907,12808.648,31
02459,14.366298,15053.665,26
02460,15.574109,9303.527,32
02461,15.688268,7453.615,20
02462,11.97078,2082.772,6
02464,17.478326,3163.275,6
02465,14.549418,11892.689,29
02466,14.000483,8707.265,24
02467,13.119515,9166.127,20
02468,13.127585,5279.605,21
02472,14.18789,16468.145,37
02474,14.948118,25351.07,44
02476,15.376332,11931.396,20
02478,14.38497,25729.381,39
02481,11.600587,16235.014,18
02482,11.787064,12986.692,21
02492,9.828455,20159.981,20
02493,6.996997,12112.481,16
02494,14.527347,3851.359,12
02532,10.206093,12783.992,23
02534,8.66571,793.086,9
02535,8.742927,1127.979,6
02536,8.00398,18065.616,19
02537,6.205267,5998.973,15
02538,7.302941,3847.554,13
02539,12.424618,4446.833,15
02540,10.603427,6602.172,19
02541,7.2764,622.806,4
02542,4.5,860.795,1
02543,7.2764,1069.928,4
02554,13.887774,5881,7
02556,8.134626,3272.043,5
02557,12.580132,2669.439,5
02558,9.742359,1825.883,8
02559,9.074605,3605.741,8
02561,9.739569,831.508,3
02562,9.739569,2966.919,3
02563,7.572051,9480.11,20
02568,12.756642,6746.68,20
02571,9.1179,11056.822,13
02574,6.606104,1528.96,3
02575,8.749133,2333.305,15
02576,7.910224,3922.445,7
02601,12.895167,14132.612,24
02630,6.830479,2042.989,7
02631,7.204142,9784.148,13
02632,8.027596,9921.991,12
02633,9.713438,3353.633,8
02634,7.672286,16.861,3
02635,7.582456,3733.668,3
02637,6.771999,451.891,4
02638,7.373545,3021.194,16
02639,11.829183,3139.425,8
02641,7.209962,445.92,4
02642,8.684881,4892.323,9
02644,8.831537,4857.362,6
02645,7.450423,7594.543,26
02646,8.684138,2542.955,8
02647,11.395178,814.13,4
02648,6.616321,6145.674,17
02649,7.278835,14190.131,19
02650,10.056928,1069.368,4
02652,11.312865,940.5,3
02653,8.430585,4837.164,14
02655,9.290069,3420.727,11
02657,14.128153,2960,5
02659,9.201105,901.771,4
02660,8.173945,5889.217,19
02661,8.927202,308.044,4
02662,9.514893,993.022,4
02664,9.540342,8946.317,11
02667,9.389976,3796.052,9
02668,6.858533,2523.471,18
02669,9.201105,830.228,4
02670,10.060072,1448.13,3
02671,7.785398,1792.745,7
02672,8.938154,739.167,4
02673,9.149086,8543.943,19
02675,6.979761,6219.427,13
02702,4.939153,4479.678,10
02703,10.283722,36912.785,34
02712,5.242461,691.94,2
02715,6.032203,2888.732,8
02717,5.850872,4820.219,11
02718,8.127724,6337.129,6
02719,11.552002,16016.548,15
02720,13.859481,29853.548,42
02721,14.498556,25992.612,35
02722,17.256206,907.575,2
02723,14.96091,14672.333,21
02724,14.444589,11245.614,21
02725,11.209183,2337.553,6
02726,8.866239,15839.786,14
02738,7.01825,5111.79,12
02739,8.409438,6294,6
02740,15.022691,41803.063,55
02741,18.166397,307.936,2
02742,18.166397,397.61,2
02743,6.461304,10319.715,21
02744,14.639994,12478.474,15
02745,13.360907,23898.61,30
02746,15.185093,16229.305,26
02747,9.291455,22910.919,35
02748,8.651607,11763.816,20
02760,12.855555,10129.85,16
02761,14.83178,1041.032,4
02762,4.833333,11.844,7
02763,10.895898,1088.316,7
02764,6.02285,4748.905,5
02766,7.760561,18868.715,17
02767,7.032554,4940.112,19
02769,6.148815,12051.353,12
02770,5.501464,5390.28,10
02771,7.746181,15114.929,28
02777,8.164815,16408.725,28
02779,5.299005,6770.264,8
02780,10.636474,50267.196,41
02790,6.845767,16184.574,22
02806,9.775518,16173.673,13
02808,6.27392,1207.465,8
02809,11.794537,22248.384,19
02812,5.776707,1062.226,4
02813,6.617488,7776.098,13
02814,5.455723,8553.108,16
02815,4.661106,240.22,7
02816,8.399268,32479.42,32
02817,5.956895,5845.788,7
02818,10.143572,18660.935,25
02822,7.968308,6486.034,14
02823,5.898587,112.772,4
02825,5.234681,5357.064,10
02826,5.342273,2.697,4
02827,4.071426,2077.381,3
02828,9.61221,8194.927,15
02830,6.702449,7080.539,16
02831,5.867494,3059.521,13
02832,5.832674,880.139,7
02835,10.849406,5496,5
02836,5.776707,112.417,4
02837,5.997527,3503.53,2
02838,8.427595,4251.84,4
02839,5.342273,2159.963,4
02840,14.975822,24759.649,27
02842,11.087734,16083.308,24
02852,9.001555,22690.798,25
02857,5.391099,8704.015,21
02858,5.342273,601.338,4
02859,6.738753,6814.909,14
02860,15.560176,45349.057,56
02861,15.1865,25066.734,36
02862,18.808127,1403.548,2
02863,15.420428,19356.582,17
02864,9.630982,25782.868,24
02865,9.635454,17414.119,34
02871,9.89398,10724.043,8
02874,8.426468,5565.325,15
02875,5.776707,442.785,4
02876,8.421005,2312.254,5
02877,6.321678,41.568,5
02878,8.249696,15817.47,10
02879,7.988111,18982.601,25
02880,13.565114,1133.941,4
02881,14.472168,7639.79,6
02882,12.582627,14000.849,16
02883,13.565114,645.626,4
02885,12.783482,10473.616,13
02886,12.400313,27906.664,43
02887,13.785372,913.013,3
02888,13.927507,19203.119,17
02889,13.544659,27253.572,38
